Country,Year,Phase,Fatalities,Cause
United States of America,1918,Takeoff,2,Technical failure
United Kingdom,1918,Takeoff,5,Technical failure
Egypt,1918,Flight,1,Other
United States of America,1918,Flight,1,Technical failure
France,1918,Landing,0,Other
United Kingdom,1918,Landing,1,Other
United Kingdom,1918,Flight,2,Other
United Kingdom,1918,Flight,7,Technical failure
Portugal,1918,Flight,2,Other
United Kingdom,1918,Landing,0,Other
United Kingdom,1918,Flight,0,Weather
United Kingdom,1918,Takeoff,0,Technical failure
France,1918,Flight,2,Other
United States of America,1918,,0,Other
United States of America,1918,,0,Other
United States of America,1918,Flight,1,Other
United Kingdom,1918,Flight,1,Other
United States of America,1918,Flight,0,Technical failure
United States of America,1918,,0,Other
United States of America,1918,,0,Other
United States of America,1918,,0,Technical failure
United States of America,1918,Takeoff,1,Human factor
United Kingdom,1918,Flight,0,Other
Greece,1918,Flight,1,Weather
United Kingdom,1918,Landing,2,Other
United Kingdom,1919,Takeoff,0,Other
France,1919,Flight,1,Other
United States of America,1919,Flight,0,Technical failure
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Landing,0,Weather
United States of America,1919,Flight,0,Weather
France,1919,Flight,0,Technical failure
France,1919,Landing,0,Technical failure
United States of America,1919,Flight,0,Weather
France,1919,Flight,2,Technical failure
United Kingdom,1919,Takeoff,5,Other
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,1,Other
United States of America,1919,,0,Other
United States of America,1919,,0,Other
Slovakia,1919,Landing,4,Other
United States of America,1919,Flight,0,Other
France,1919,Flight,2,Other
United States of America,1919,Flight,0,Other
Italy,1919,Landing,2,Other
Belgium,1919,Landing,0,Other
United Kingdom,1919,Flight,2,Other
United Kingdom,1919,Flight,1,Other
United States of America,1919,Takeoff,1,Technical failure
United Kingdom,1919,Takeoff,0,Technical failure
United States of America,1919,,0,Other
Ireland,1919,Landing,0,Other
United States of America,1919,Flight,0,Technical failure
United States of America,1919,Flight,0,Other
United Kingdom,1919,Takeoff,0,Other
United States of America,1919,Flight,0,Weather
United Kingdom,1919,Takeoff,3,Human factor
United States of America,1919,Flight,1,Weather
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Landing,0,Other
United States of America,1919,Flight,0,Human factor
Italy,1919,Flight,14,Technical failure
United States of America,1919,Landing,0,Other
United Kingdom,1919,Landing,1,Other
United Kingdom,1919,Takeoff,1,Other
Czech Republic,1919,Flight,0,Other
United Kingdom,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
Mexico,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
United Kingdom,1919,Flight,0,Other
United Kingdom,1919,Flight,0,Other
United Kingdom,1919,Takeoff,0,Weather
United Kingdom,1919,Landing,0,Other
United States of America,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
United States of America,1919,Flight,0,Other
United States of America,1919,Landing,0,Other
United States of America,1919,Landing,0,Other
United States of America,1919,Takeoff,0,Other
United Kingdom,1919,Landing,1,Technical failure
United States of America,1919,Landing,0,Other
United Kingdom,1919,Flight,1,Weather
United States of America,1919,Landing,0,Other
United States of America,1919,Flight,1,Human factor
United States of America,1919,Flight,0,Human factor
United Kingdom,1919,,0,Other
United States of America,1919,Landing,0,Other
United Kingdom,1919,Landing,0,Other
United Kingdom,1919,Flight,0,Other
United States of America,1919,Takeoff,0,Technical failure
United States of America,1919,Flight,0,Human factor
United States of America,1919,Landing,0,Other
United States of America,1919,Landing,0,Other
United States of America,1919,Flight,1,Weather
United Kingdom,1919,Flight,0,Technical failure
United Kingdom,1919,Flight,0,Other
United Kingdom,1919,Takeoff,0,Other
Greece,1919,Flight,0,Technical failure
United Kingdom,1919,Landing,0,Other
Greece,1919,Flight,2,Other
United Kingdom,1919,Flight,2,Other
France,1919,Flight,1,Other
United Kingdom,1919,Landing,0,Other
United Kingdom,1919,Flight,0,Other
United States of America,1919,,0,Other
United States of America,1920,Flight,0,Technical failure
United Kingdom,1920,Flight,0,Technical failure
United Kingdom,1920,Flight,0,Other
United States of America,1920,Landing,0,Other
Germany,1920,Flight,4,Other
Sudan,1920,Landing,0,Technical failure
United States of America,1920,Flight,3,Other
United States of America,1920,Landing,0,Other
South Africa,1920,Flight,0,Technical failure
Sudan,1920,Flight,0,Technical failure
Malaysia,1920,Takeoff,1,Other
United States of America,1920,Landing,0,Other
Tanzania,1920,Takeoff,0,Technical failure
United States of America,1920,Landing,0,Other
United States of America,1920,Flight,0,Other
Mexico,1920,Flight,0,Technical failure
Zimbabwe,1920,Landing,0,Other
Switzerland,1920,Flight,0,Other
Spain,1920,Flight,0,Other
United States of America,1920,Flight,1,Human factor
United Kingdom,1920,Flight,0,Technical failure
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Takeoff,0,Technical failure
Egypt,1920,Takeoff,0,Other
United States of America,1920,Landing,1,Human factor
United Kingdom,1920,Flight,0,Technical failure
Sudan,1920,Flight,4,Other
United States of America,1920,Flight,1,Technical failure
United States of America,1920,Takeoff,1,Other
Spain,1920,Landing,0,Other
United Kingdom,1920,Takeoff,0,Other
United Kingdom,1920,Flight,0,Other
United States of America,1920,Flight,0,Human factor
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Flight,0,Other
World,1920,Flight,1,Other
Colombia,1920,Takeoff,1,Weather
United Kingdom,1920,Takeoff,4,Other
United Kingdom,1920,Takeoff,0,Other
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Flight,1,Human factor
United States of America,1920,Landing,0,Human factor
Spain,1920,Flight,0,Other
United States of America,1920,Landing,0,Other
United States of America,1920,Takeoff,0,Other
Switzerland,1920,Flight,2,Technical failure
United States of America,1920,Flight,0,Human factor
United States of America,1920,Flight,0,Other
Germany,1920,Flight,1,Other
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Takeoff,1,Technical failure
United States of America,1920,Takeoff,0,Other
United States of America,1920,Landing,0,Other
United Kingdom,1920,Flight,0,Technical failure
United States of America,1920,Takeoff,0,Other
United States of America,1920,Flight,0,Technical failure
United Kingdom,1920,Landing,3,Technical failure
Sweden,1920,Takeoff,0,Human factor
Indonesia,1920,Landing,0,Other
United Kingdom,1920,Takeoff,0,Other
Cuba,1920,Takeoff,2,Other
United States of America,1920,Flight,2,Other
United States of America,1920,Flight,0,Other
United States of America,1920,,0,Other
United Kingdom,1920,Flight,0,Technical failure
Norway,1920,Takeoff,0,Weather
United Kingdom,1920,Takeoff,2,Other
United States of America,1920,Landing,0,Other
Colombia,1920,Takeoff,2,Human factor
United Kingdom,1920,Takeoff,0,Other
Sweden,1920,Flight,0,Technical failure
United Kingdom,1920,Landing,0,Technical failure
United Kingdom,1920,Landing,0,Technical failure
United States of America,1920,Flight,0,Other
United Kingdom,1920,Takeoff,2,Other
Philippines,1920,Flight,0,Technical failure
Canada,1920,Takeoff,0,Other
United Kingdom,1920,Takeoff,0,Technical failure
United Kingdom,1920,Flight,1,Other
United States of America,1920,Takeoff,1,Human factor
Spain,1920,,0,Other
United Kingdom,1920,Takeoff,0,Other
United States of America,1920,Flight,0,Other
United Kingdom,1920,Landing,0,Other
Canada,1920,,0,Other
Sweden,1920,Flight,2,Other
Canada,1920,Landing,0,Other
Switzerland,1920,Flight,0,Other
Switzerland,1920,Flight,1,Other
United States of America,1920,Flight,2,Technical failure
United States of America,1920,Takeoff,1,Technical failure
Switzerland,1920,Flight,2,Other
Switzerland,1920,Flight,2,Other
Canada,1920,Flight,0,Other
France,1920,Flight,0,Other
United States of America,1920,Flight,2,Technical failure
United States of America,1920,Landing,1,Other
United States of America,1920,Takeoff,0,Other
Canada,1920,Flight,0,Other
United Kingdom,1920,Flight,0,Other
Norway,1920,Flight,0,Technical failure
United Kingdom,1920,Takeoff,6,Other
United States of America,1920,Flight,1,Human factor
United Kingdom,1920,,0,Other
Canada,1920,,0,Other
France,1920,Flight,2,Other
Spain,1920,Flight,2,Other
United Kingdom,1920,Flight,0,Other
Canada,1920,Flight,0,Other
United States of America,1920,Flight,1,Human factor
Sweden,1920,Takeoff,0,Technical failure
United States of America,1920,Flight,1,Human factor
France,1920,Landing,0,Other
New Zealand,1920,Landing,3,Other
United States of America,1920,Landing,0,Other
United States of America,1920,Landing,0,Other
United States of America,1920,,0,Other
Canada,1920,Flight,0,Other
Brazil,1920,Flight,1,Other
United States of America,1920,,0,Other
United States of America,1920,Landing,0,Other
United Kingdom,1920,Takeoff,4,Human factor
United Kingdom,1920,Takeoff,0,Other
Spain,1920,Takeoff,1,Technical failure
France,1920,,0,Other
United States of America,1920,Flight,0,Technical failure
United States of America,1920,Flight,0,Technical failure
Canada,1921,Takeoff,0,Other
United States of America,1921,Flight,2,Technical failure
United States of America,1921,Flight,0,Technical failure
United States of America,1921,Takeoff,0,Other
United States of America,1921,Flight,0,Technical failure
France,1921,,0,Other
Norway,1921,Flight,0,Technical failure
United Kingdom,1921,Flight,1,Human factor
Germany,1921,Flight,0,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,1,Technical failure
United States of America,1921,,0,Other
United States of America,1921,Landing,0,Other
Indonesia,1921,Flight,1,Human factor
United States of America,1921,Flight,3,Technical failure
United States of America,1921,Flight,0,Technical failure
United Kingdom,1921,Flight,2,Weather
Poland,1921,Flight,2,Human factor
Brazil,1921,Flight,1,Other
United States of America,1921,Takeoff,0,Human factor
Canada,1921,Flight,0,Technical failure
Iraq,1921,Flight,0,Technical failure
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,1,Human factor
France,1921,Flight,1,Other
United Kingdom,1921,Landing,1,Other
United Kingdom,1921,Takeoff,0,Other
Italy,1921,Takeoff,0,Other
United Kingdom,1921,Flight,1,Human factor
Canada,1921,Flight,0,Other
United Kingdom,1921,Flight,2,Technical failure
Canada,1921,Flight,0,Other
United States of America,1921,Flight,0,Technical failure
Canada,1921,Flight,0,Other
Australia,1921,Takeoff,2,Other
United Kingdom,1921,Takeoff,0,Other
Iraq,1921,Flight,0,Weather
France,1921,Landing,0,Other
Canada,1921,Flight,0,Other
United States of America,1921,Takeoff,1,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Landing,1,Weather
United States of America,1921,,0,Other
United States of America,1921,Takeoff,1,Other
Spain,1921,Landing,1,Weather
United States of America,1921,Flight,0,Technical failure
United States of America,1921,Flight,0,Other
United States of America,1921,Flight,1,Other
France,1921,Flight,0,Other
Netherlands,1921,Landing,0,Other
United States of America,1921,Flight,0,Technical failure
Portugal,1921,Landing,2,Other
United States of America,1921,Flight,7,Weather
Canada,1921,Takeoff,0,Other
Canada,1921,Flight,0,Other
Canada,1921,Flight,0,Other
United States of America,1921,Takeoff,0,Other
France,1921,Flight,0,Weather
Canada,1921,Flight,1,Other
United States of America,1921,Takeoff,0,Technical failure
United States of America,1921,Flight,0,Technical failure
United Kingdom,1921,Flight,0,Technical failure
Germany,1921,Takeoff,0,Other
United States of America,1921,Flight,0,Technical failure
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,1,Weather
Canada,1921,Takeoff,0,Other
Sweden,1921,Flight,2,Other
United States of America,1921,Takeoff,5,Technical failure
United States of America,1921,Takeoff,0,Other
United States of America,1921,Takeoff,0,Technical failure
United States of America,1921,Takeoff,0,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,0,Technical failure
United States of America,1921,Flight,0,Technical failure
United States of America,1921,Flight,0,Technical failure
Canada,1921,Flight,0,Other
United States of America,1921,Flight,0,Other
Canada,1921,Landing,0,Other
United States of America,1921,Takeoff,0,Other
United States of America,1921,Takeoff,0,Other
United States of America,1921,Flight,0,Technical failure
France,1921,Takeoff,2,Technical failure
United States of America,1921,Takeoff,0,Technical failure
United Kingdom,1921,Takeoff,2,Other
United States of America,1921,Takeoff,0,Technical failure
Canada,1921,Takeoff,0,Technical failure
Canada,1921,Takeoff,0,Technical failure
France,1921,Flight,2,Technical failure
Canada,1921,Flight,0,Other
United States of America,1921,Landing,0,Technical failure
Netherlands,1921,Flight,0,Technical failure
United States of America,1921,Flight,5,Weather
France,1921,Landing,5,Human factor
United Kingdom,1921,Landing,1,Other
United States of America,1921,Flight,0,Technical failure
United States of America,1921,Landing,0,Other
United States of America,1921,Flight,0,Other
United Kingdom,1921,Landing,0,Weather
Switzerland,1921,Flight,2,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Flight,0,Technical failure
United Kingdom,1921,Takeoff,0,Other
United States of America,1921,Landing,0,Other
United Kingdom,1921,Takeoff,0,Other
United Kingdom,1921,Takeoff,5,Weather
Canada,1921,Takeoff,0,Technical failure
United States of America,1921,Landing,0,Other
Denmark,1921,Flight,0,Other
Canada,1921,Flight,0,Other
United States of America,1921,Flight,0,Other
Netherlands,1921,Landing,0,Other
United States of America,1921,Flight,0,Other
Indonesia,1921,Takeoff,1,Other
Spain,1921,Flight,0,Technical failure
United States of America,1921,Landing,0,Other
Spain,1921,Takeoff,0,Technical failure
United Kingdom,1921,Flight,0,Human factor
United Kingdom,1921,Takeoff,2,Other
United States of America,1921,Flight,2,Human factor
United States of America,1921,Flight,2,Human factor
United Kingdom,1921,Takeoff,0,Other
United Kingdom,1921,Flight,0,Technical failure
Australia,1921,Landing,2,Other
United States of America,1921,Landing,0,Other
Egypt,1921,Flight,0,Technical failure
Canada,1921,Flight,0,Other
United States of America,1921,Landing,0,Other
United Kingdom,1921,Landing,0,Other
United Kingdom,1921,Flight,0,Other
Philippines,1921,Takeoff,0,Other
United States of America,1921,Flight,0,Other
United States of America,1921,Takeoff,0,Technical failure
United States of America,1921,Landing,0,Other
United States of America,1921,,0,Other
France,1921,Landing,0,Other
New Zealand,1921,Flight,1,Technical failure
Pakistan,1922,Landing,2,Other
Iraq,1922,Flight,1,Human factor
Iraq,1922,Flight,2,Human factor
France,1922,Landing,0,Human factor
Chile,1922,Flight,1,Other
United States of America,1922,Landing,0,Other
United States of America,1922,Landing,0,Other
United Kingdom,1922,Takeoff,1,Other
United States of America,1922,Flight,0,Other
United States of America,1922,Flight,0,Other
United States of America,1922,Takeoff,0,Technical failure
United Kingdom,1922,Landing,1,Other
Germany,1922,Flight,0,Technical failure
United Kingdom,1922,Flight,1,Other
United States of America,1922,,0,Technical failure
United Kingdom,1922,Flight,0,Other
United States of America,1922,Flight,0,Other
Canada,1922,Flight,0,Other
United Kingdom,1922,Landing,0,Other
United Kingdom,1922,Takeoff,1,Other
United Kingdom,1922,Takeoff,2,Other
Switzerland,1922,Flight,0,Human factor
China,1922,Landing,14,Other
United Kingdom,1922,Flight,0,Other
France,1922,Flight,2,Human factor
France,1922,Flight,5,Human factor
China,1922,Flight,17,Other
United Kingdom,1922,Flight,2,Human factor
United States of America,1922,,0,Other
United Kingdom,1922,Flight,1,Other
United States of America,1922,Flight,0,Other
Spain,1922,Flight,0,Other
United Kingdom,1922,Takeoff,1,Other
United States of America,1922,Takeoff,0,Other
France,1922,Flight,0,Other
United States of America,1922,Takeoff,0,Other
United Kingdom,1922,Flight,0,Human factor
United States of America,1922,Landing,0,Other
United States of America,1922,Flight,0,Technical failure
France,1922,Landing,0,Human factor
Switzerland,1922,Flight,2,Other
United Kingdom,1922,Flight,3,Other
Chile,1922,Flight,1,Other
United States of America,1922,Flight,0,Other
United Kingdom,1922,Takeoff,1,Other
United States of America,1922,Flight,0,Technical failure
United Kingdom,1922,Takeoff,0,Other
Belgium,1922,Landing,1,Other
United States of America,1922,Flight,0,Other
United States of America,1922,Takeoff,0,Other
United Kingdom,1922,Landing,1,Human factor
United Kingdom,1922,Landing,0,Human factor
Indonesia,1922,Takeoff,3,Other
Turkey,1922,Flight,2,Terrorism
France,1922,Takeoff,5,Technical failure
Norway,1922,Flight,2,Other
Spain,1922,Flight,3,Technical failure
United States of America,1922,Flight,0,Technical failure
United States of America,1922,Flight,0,Technical failure
United Kingdom,1922,Flight,0,Technical failure
United States of America,1922,Flight,0,Technical failure
United Kingdom,1922,Flight,0,Other
United Kingdom,1922,Flight,0,Technical failure
United Kingdom,1922,Flight,0,Human factor
United States of America,1922,Landing,0,Other
Egypt,1922,Flight,2,Other
France,1922,Takeoff,2,Technical failure
India,1922,Flight,0,Other
Greece,1922,Flight,2,Other
United Kingdom,1922,Landing,0,Human factor
Sweden,1922,Flight,0,Other
Philippines,1922,Flight,0,Other
United States of America,1922,Landing,0,Other
United States of America,1922,,0,Other
United States of America,1922,Takeoff,1,Other
United States of America,1922,Flight,3,Other
Spain,1922,Landing,0,Other
United Kingdom,1922,Takeoff,0,Technical failure
United States of America,1922,Landing,0,Other
Sweden,1922,Flight,0,Other
Iraq,1922,Landing,1,Other
Belgium,1922,Landing,1,Other
Italy,1922,Takeoff,4,Other
United Kingdom,1922,Flight,3,Other
United States of America,1922,Flight,0,Other
Morocco,1922,Flight,2,Other
United States of America,1922,Flight,0,Other
Czech Republic,1922,Flight,2,Human factor
United States of America,1922,Flight,0,Technical failure
United States of America,1922,Flight,0,Technical failure
Indonesia,1922,Flight,0,Technical failure
United Kingdom,1922,Flight,0,Technical failure
United States of America,1922,Flight,0,Technical failure
United States of America,1922,,0,Other
United States of America,1922,,0,Other
France,1922,Takeoff,3,Technical failure
Netherlands,1922,Takeoff,0,Other
United States of America,1922,Flight,0,Technical failure
United States of America,1922,Takeoff,0,Other
Morocco,1922,Flight,1,Human factor
United States of America,1922,Takeoff,0,Other
United States of America,1922,Takeoff,0,Technical failure
United States of America,1922,Flight,0,Weather
United States of America,1922,Landing,0,Other
Spain,1922,Flight,0,Technical failure
United States of America,1922,Flight,0,Technical failure
United States of America,1923,Flight,0,Technical failure
France,1923,Flight,4,Technical failure
Cuba,1923,Flight,4,Technical failure
Spain,1923,Landing,1,Weather
United States of America,1923,Flight,2,Human factor
United States of America,1923,Flight,2,Human factor
Australia,1923,Takeoff,0,Other
Indonesia,1923,Landing,1,Other
Colombia,1923,Takeoff,1,Other
Belgium,1923,Flight,2,Other
Australia,1923,Takeoff,0,Other
United States of America,1923,Flight,1,Human factor
Germany,1923,Takeoff,0,Other
Brazil,1923,Flight,1,Weather
Belgium,1923,Flight,1,Other
Morocco,1923,Flight,0,Technical failure
United States of America,1923,Takeoff,5,Weather
Brazil,1923,Landing,0,Other
France,1923,Flight,0,Other
Hungary,1923,Flight,1,Other
United States of America,1923,Takeoff,0,Technical failure
France,1923,Flight,6,Technical failure
France,1923,Takeoff,3,Other
Canada,1923,Takeoff,0,Technical failure
United Kingdom,1923,Flight,0,Other
United Kingdom,1923,Landing,2,Other
Czech Republic,1923,Takeoff,0,Other
France,1923,Flight,1,Technical failure
Brazil,1923,Takeoff,2,Technical failure
Ireland,1923,Flight,1,Other
France,1923,Flight,0,Technical failure
Russia,1923,Landing,1,Technical failure
United Kingdom,1923,Landing,0,Technical failure
Canada,1923,Flight,0,Technical failure
Netherlands,1923,Landing,3,Other
United Kingdom,1923,Takeoff,0,Other
United Kingdom,1923,Landing,0,Other
United Kingdom,1923,Takeoff,0,Other
Lithuania,1923,Takeoff,0,Other
Czech Republic,1923,Takeoff,0,Other
United Kingdom,1923,Flight,0,Human factor
United Kingdom,1923,Flight,1,Technical failure
Romania,1923,Landing,2,Other
United Kingdom,1923,Takeoff,0,Other
United States of America,1923,Flight,0,Technical failure
United States of America,1923,Flight,1,Technical failure
United Kingdom,1923,Flight,0,Other
Australia,1923,Flight,0,Technical failure
United Kingdom,1923,Flight,5,Human factor
World,1923,Flight,0,Technical failure
Sweden,1923,Flight,0,Other
United Kingdom,1923,Flight,0,Other
Indonesia,1923,Takeoff,0,Other
United Kingdom,1923,Takeoff,0,Other
Brazil,1923,Flight,2,Other
United Kingdom,1923,Flight,0,Technical failure
France,1923,Landing,1,Human factor
Russia,1923,Flight,3,Other
Turkey,1923,Flight,1,Other
France,1923,Flight,0,Technical failure
United Kingdom,1923,Flight,0,Technical failure
United States of America,1923,Flight,1,Technical failure
Iraq,1923,Flight,2,Other
United States of America,1923,Flight,1,Weather
Colombia,1923,,0,Other
United States of America,1923,,0,Other
Poland,1923,Landing,0,Other
Spain,1924,Flight,0,Technical failure
United Kingdom,1924,Landing,0,Human factor
Cuba,1924,Flight,1,Other
New Zealand,1924,Flight,0,Other
United States of America,1924,Flight,1,Weather
Iraq,1924,Takeoff,2,Other
France,1924,Landing,0,Technical failure
World,1924,Flight,3,Technical failure
United Kingdom,1924,Flight,0,Other
France,1924,Landing,1,Other
India,1924,Flight,0,Technical failure
United Kingdom,1924,Takeoff,0,Other
Belgium,1924,Takeoff,0,Other
Czech Republic,1924,Flight,3,Technical failure
Colombia,1924,Takeoff,6,Technical failure
Czech Republic,1924,Takeoff,1,Technical failure
United Kingdom,1924,Takeoff,0,Other
Belgium,1924,Landing,0,Human factor
United Kingdom,1924,Landing,0,Technical failure
United States of America,1924,Flight,0,Weather
Poland,1924,Landing,0,Other
Indonesia,1924,Takeoff,0,Other
United Kingdom,1924,Takeoff,0,Other
Sweden,1924,Landing,0,Other
France,1924,Takeoff,0,Technical failure
Canada,1924,Flight,0,Other
United States of America,1924,Flight,1,Human factor
United Kingdom,1924,Takeoff,0,Other
United States of America,1924,Flight,0,Technical failure
United States of America,1924,Flight,1,Other
Spain,1924,Landing,0,Technical failure
Norway,1924,Flight,2,Other
Canada,1924,Landing,0,Other
Portugal,1924,Flight,0,Other
World,1924,Flight,0,Technical failure
Netherlands,1924,Takeoff,0,Technical failure
Egypt,1924,Flight,0,Other
United Kingdom,1924,Flight,0,Technical failure
Australia,1924,Landing,0,Other
United Kingdom,1924,Takeoff,0,Other
Russia,1924,Flight,0,Other
United Kingdom,1924,Takeoff,0,Other
France,1924,Flight,1,Weather
Australia,1924,Landing,0,Other
United Kingdom,1924,Flight,1,Other
Spain,1924,Flight,0,Technical failure
United States of America,1924,Flight,1,Weather
United Kingdom,1924,Takeoff,8,Technical failure
United States of America,1924,Flight,1,Human factor
Canada,1925,Flight,0,Weather
Brazil,1925,Takeoff,0,Other
Niger,1925,Takeoff,1,Other
World,1925,Flight,0,Technical failure
Morocco,1925,Flight,0,Other
United Kingdom,1925,Landing,1,Other
Sweden,1925,Flight,2,Other
Brazil,1925,Flight,0,Other
World,1925,Flight,0,Technical failure
Indonesia,1925,Landing,0,Other
Georgia,1925,Takeoff,5,Other
Australia,1925,Landing,1,Other
Portugal,1925,Flight,3,Other
United Kingdom,1925,Flight,2,Weather
World,1925,Flight,0,Technical failure
World,1925,Flight,0,Technical failure
United Kingdom,1925,Flight,2,Human factor
United Kingdom,1925,Landing,1,Other
United Kingdom,1925,Flight,1,Technical failure
Russia,1925,,0,Other
Spain,1925,Takeoff,2,Weather
Russia,1925,Flight,0,Other
France,1925,Landing,0,Other
Canada,1925,Landing,0,Weather
Belgium,1925,Flight,1,Technical failure
Sweden,1925,Landing,0,Weather
Germany,1925,Flight,0,Other
France,1925,Flight,4,Technical failure
Spain,1925,Landing,2,Human factor
Switzerland,1925,Takeoff,0,Other
United Kingdom,1925,Landing,1,Other
United Kingdom,1925,Flight,0,Weather
United Kingdom,1925,Flight,1,Other
Spain,1925,Flight,2,Other
Switzerland,1925,Flight,1,Other
Spain,1925,Flight,0,Technical failure
Germany,1925,Flight,0,Weather
Hungary,1925,Landing,1,Other
Belgium,1925,Flight,0,Other
Morocco,1925,Flight,0,Weather
United Kingdom,1925,Landing,1,Human factor
Russia,1925,Landing,0,Other
France,1925,,0,Other
Germany,1925,,0,Other
Spain,1925,Flight,0,Other
Germany,1925,Landing,0,Human factor
Switzerland,1925,Flight,0,Other
World,1925,Flight,0,Other
Germany,1925,Flight,1,Other
Sweden,1925,Flight,1,Other
United Kingdom,1925,Flight,1,Human factor
Russia,1925,,0,Other
France,1925,Flight,0,Human factor
France,1925,,0,Other
United States of America,1925,Flight,1,Weather
Australia,1925,Landing,0,Other
United States of America,1925,Flight,1,Other
United Kingdom,1925,Flight,1,Other
Mauritania,1925,Flight,1,Human factor
Canada,1925,Flight,0,Other
Turkey,1925,Flight,2,Other
Denmark,1925,Takeoff,4,Other
Germany,1925,Takeoff,0,Weather
Morocco,1925,Flight,0,Other
United States of America,1925,Flight,2,Technical failure
Germany,1925,Flight,1,Other
Germany,1925,Flight,1,Technical failure
Spain,1925,Landing,0,Human factor
United Kingdom,1925,Takeoff,1,Other
World,1925,Flight,0,Technical failure
Italy,1925,Flight,0,Technical failure
Spain,1925,Flight,0,Technical failure
France,1926,Flight,0,Technical failure
United Kingdom,1926,Landing,0,Human factor
Australia,1926,Flight,0,Technical failure
Portugal,1926,Takeoff,2,Other
Australia,1926,Flight,0,Other
Australia,1926,Flight,0,Other
Colombia,1926,Flight,0,Other
Indonesia,1926,Flight,0,Other
Belgium,1926,Flight,2,Other
France,1926,Flight,0,Other
Australia,1926,Flight,1,Other
Estonia,1926,Takeoff,1,Technical failure
Australia,1926,Flight,1,Technical failure
Australia,1926,Flight,0,Other
Australia,1926,Flight,1,Other
France,1926,Landing,0,Human factor
Australia,1926,Flight,0,Other
Australia,1926,Landing,2,Human factor
United Kingdom,1926,Flight,1,Human factor
United States of America,1926,Flight,1,Other
France,1926,Flight,1,Human factor
Portugal,1926,Landing,2,Other
United Kingdom,1926,Takeoff,2,Other
Spain,1926,Flight,1,Other
United Kingdom,1926,Flight,0,Other
Australia,1926,Flight,0,Other
Germany,1926,Landing,1,Other
France,1926,,0,Other
Belgium,1926,Flight,0,Other
United Kingdom,1926,Flight,1,Human factor
United Kingdom,1926,Flight,4,Human factor
Netherlands,1926,Takeoff,0,Other
Norway,1926,Takeoff,0,Other
France,1926,Landing,0,Other
United States of America,1926,Takeoff,0,Other
Switzerland,1926,Landing,0,Technical failure
United Kingdom,1926,Flight,1,Other
World,1926,Flight,2,Other
United States of America,1926,Takeoff,1,Technical failure
World,1926,Landing,0,Technical failure
Poland,1926,Takeoff,0,Other
World,1926,Flight,1,Other
Germany,1926,Flight,1,Other
Australia,1926,Flight,1,Human factor
Russia,1926,,0,Other
United States of America,1926,Takeoff,1,Other
United Kingdom,1926,Flight,0,Human factor
Indonesia,1926,Flight,0,Weather
Germany,1926,Landing,3,Other
Czech Republic,1926,Flight,5,Technical failure
Australia,1926,Flight,2,Human factor
Czech Republic,1926,Flight,0,Technical failure
Sweden,1926,,0,Other
Brazil,1926,Flight,0,Other
Belgium,1926,Landing,2,Weather
Norway,1926,Flight,0,Technical failure
Germany,1926,Flight,0,Technical failure
Canada,1926,Landing,0,Other
Algeria,1926,Flight,0,Technical failure
Italy,1926,Takeoff,1,Other
Canada,1926,Takeoff,0,Human factor
Germany,1926,Landing,5,Other
Turkey,1926,Flight,1,Other
Belgium,1926,Flight,2,Technical failure
Canada,1926,Takeoff,0,Other
Germany,1926,Takeoff,0,Other
United Kingdom,1926,Flight,3,Human factor
Switzerland,1926,Flight,1,Human factor
Germany,1926,Flight,2,Other
United Kingdom,1926,Flight,3,Human factor
Colombia,1926,Landing,0,Other
Australia,1926,Flight,1,Human factor
United Kingdom,1926,Landing,1,Other
United States of America,1926,Flight,0,Technical failure
United Kingdom,1926,Takeoff,0,Other
United Kingdom,1926,Takeoff,1,Technical failure
United States of America,1926,Takeoff,2,Human factor
Uruguay,1926,Takeoff,1,Other
France,1926,Flight,0,Other
France,1926,Flight,5,Technical failure
United Kingdom,1926,Landing,7,Technical failure
United States of America,1926,Flight,0,Human factor
Germany,1926,Flight,4,Other
Canada,1926,Landing,0,Human factor
Germany,1926,Flight,0,Other
Morocco,1926,Flight,0,Technical failure
World,1926,Flight,0,Technical failure
United States of America,1926,Flight,0,Weather
Bolivia,1926,Landing,6,Other
United Kingdom,1926,Takeoff,2,Other
Western Sahara,1926,Flight,3,Technical failure
United States of America,1926,Flight,1,Weather
United Kingdom,1926,Flight,1,Other
